,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
144,0.0,8.63705,1.0,-15.759,99.133,0.6,9,0.066,0,0.426,4,1.0,3 Doors Down,Kryptonite
145,8.63705,11.49789,0.758,-8.223,98.907,0.638,11,0.569,0,0.362,4,1.0,3 Doors Down,Kryptonite
146,20.13494,20.01714,0.888,-6.197,99.037,0.47,9,0.646,1,0.457,4,1.0,3 Doors Down,Kryptonite
147,40.15208,9.69463,0.605,-6.069,99.004,0.37,11,0.28,0,0.489,4,1.0,3 Doors Down,Kryptonite
148,49.84671,15.16373,0.235,-5.656,98.987,0.432,9,0.565,1,0.5,4,1.0,3 Doors Down,Kryptonite
149,65.01045,19.3758,0.35,-4.288,99.18,0.346,11,0.256,0,0.552,4,1.0,3 Doors Down,Kryptonite
150,84.38625,13.96011,0.395,-5.825,99.102,0.306,11,0.199,1,0.408,4,1.0,3 Doors Down,Kryptonite
151,98.34635,20.01272,0.312,-5.768,98.98,0.44,7,0.4,1,0.466,4,1.0,3 Doors Down,Kryptonite
152,118.35908,18.78553,0.147,-4.711,99.04,0.317,4,0.733,1,0.4,4,0.808,3 Doors Down,Kryptonite
153,137.1446,23.02204,0.028,-5.733,99.195,0.237,4,0.116,1,0.381,4,0.944,3 Doors Down,Kryptonite
154,160.16664,23.05346,0.576,-6.771,98.974,0.485,7,0.061,1,0.451,4,1.0,3 Doors Down,Kryptonite
155,183.22011,36.39161,0.4,-5.026,99.046,0.283,11,0.895,0,0.712,4,1.0,3 Doors Down,Kryptonite
156,219.61172,14.32161,0.417,-5.693,99.471,0.156,9,0.085,1,0.468,4,1.0,3 Doors Down,Kryptonite
157,0.0,12.64785,1.0,-23.377,147.136,0.327,7,0.033,1,0.522,4,1.0,3 Doors Down,When I'm Gone
158,12.64785,38.51142,1.0,-9.841,147.913,0.427,7,0.669,1,0.502,4,1.0,3 Doors Down,When I'm Gone
159,51.15927,42.16799,0.661,-4.616,147.923,0.348,7,0.753,1,0.49,4,1.0,3 Doors Down,When I'm Gone
160,93.32726,22.69586,0.315,-10.559,148.21,0.446,9,0.411,0,0.373,4,1.0,3 Doors Down,When I'm Gone
161,116.02312,40.53214,0.777,-4.399,148.055,0.395,7,0.395,1,0.372,4,1.0,3 Doors Down,When I'm Gone
162,156.55527,12.97306,1.0,-7.667,148.466,0.232,2,0.0,1,0.0,4,1.0,3 Doors Down,When I'm Gone
163,169.52832,26.77505,1.0,-3.864,147.907,0.162,11,0.346,0,0.443,4,1.0,3 Doors Down,When I'm Gone
164,196.30336,51.03576,0.375,-4.387,148.071,0.294,7,0.545,1,0.499,4,1.0,3 Doors Down,When I'm Gone
165,247.33913,12.99421,1.0,-11.619,148.787,0.041,2,0.0,1,0.0,4,0.875,3 Doors Down,When I'm Gone
166,0.0,15.0118,1.0,-10.924,129.398,0.803,7,0.249,1,0.503,4,0.967,3OH!3,DONTTRUSTME
167,15.0118,45.2223,0.842,-2.573,130.005,0.547,5,0.685,0,0.6,4,1.0,3OH!3,DONTTRUSTME
168,60.2341,14.30252,0.707,-6.79,130.227,0.896,5,0.087,1,0.51,4,1.0,3OH!3,DONTTRUSTME
169,74.53662,44.81225,0.659,-2.271,129.958,0.537,5,0.099,0,0.501,4,1.0,3OH!3,DONTTRUSTME
