,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
3748,187.48686,22.2262,0.37,-3.127,170.517,0.339,8,0.078,0,0.385,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3749,209.71306,22.57407,0.109,-4.246,169.936,0.407,10,0.24,0,0.38,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3750,232.28712,10.95079,0.615,-8.496,169.862,0.366,10,0.111,0,0.579,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3751,243.23792,22.93335,0.755,-3.34,169.976,0.363,10,0.733,0,0.665,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3752,266.17126,11.30878,0.706,-2.595,169.795,0.493,10,0.568,0,0.573,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3753,277.48004,22.59516,0.826,-4.069,169.685,0.373,8,0.064,1,0.336,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3754,300.07523,7.60061,1.0,-18.844,170.657,0.424,4,0.169,1,0.592,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3755,0.0,10.07914,1.0,-14.683,169.611,0.744,0,0.464,0,0.504,4,0.353,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3756,10.07914,18.70155,1.0,-6.695,169.943,0.557,10,0.023,0,0.294,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3757,28.78069,11.47443,0.896,-6.362,167.155,0.511,8,0.007,1,0.219,4,0.933,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3758,40.25512,34.41345,0.631,-4.779,170.003,0.569,11,0.12,1,0.446,4,0.957,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3759,74.66857,19.41568,0.67,-3.111,170.082,0.573,6,0.302,1,0.588,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3760,94.08425,47.64491,0.741,-4.083,170.029,0.429,10,0.375,0,0.407,3,0.015,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3761,141.72917,10.57909,0.76,-3.02,170.2,0.585,6,0.118,1,0.498,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3762,152.30826,12.37924,0.246,-2.571,169.822,0.512,10,0.537,0,0.491,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3763,164.6875,22.20901,0.391,-3.633,170.617,0.335,8,0.006,0,0.222,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3764,186.89651,10.94355,0.631,-8.95,169.902,0.356,1,0.164,0,0.288,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
